=== Группа: Справочники ===
  [ТипыФайловДляВстроенногоРедактора]  | ПеречислениеСсылка.ТипыФайловДляВстроенногоРедактора -> ПеречислениеСсылка.ТипыФайловДляВстроенногоРедактора | св-в:0 | код:-
  [СпособыОткрытияФайлаНаПросмотр]  | ПеречислениеСсылка.СпособыОткрытияФайлаНаПросмотр -> ПеречислениеСсылка.СпособыОткрытияФайлаНаПросмотр | св-в:0 | код:-
  [РезультатыОбработкиЗапросовНаИспользованиеВне]  | ПеречислениеСсылка.РезультатыОбработкиЗапросовНаИспользованиеВнешнихРесурсовВМоделиСервиса -> ПеречислениеСсылка.РезультатыОбработкиЗапросовНаИспользованиеВнешнихРесурсовВМоделиСервиса | св-в:0 | код:-
  [ПриоритетыОбъектовОбмена]  | ПеречислениеСсылка.ПриоритетыОбъектовОбмена -> ПеречислениеСсылка.ПриоритетыОбъектовОбмена | св-в:0 | код:-
  [РазмерыБумаги]  | ПеречислениеСсылка.РазмерыБумаги -> ПеречислениеСсылка.РазмерыБумаги | св-в:0 | код:-
  [ПериодичностиРасписанийРассылокОтчетов]  | ПеречислениеСсылка.ПериодичностиРасписанийРассылокОтчетов -> ПеречислениеСсылка.ПериодичностиРасписанийРассылокОтчетов | св-в:0 | код:-
  [ОтветственныеЛицаОрганизаций]  | ПеречислениеСсылка.ОтветственныеЛицаОрганизаций -> ПеречислениеСсылка.ОтветственныеЛицаОрганизаций | св-в:0 | код:-
  [СпособыОценки]  | ПеречислениеСсылка.СпособыОценки -> ПеречислениеСсылка.СпособыОценки | св-в:0 | код:-
  [ВариантыВерсионированияОбъектов]  | ПеречислениеСсылка.ВариантыВерсионированияОбъектов -> ПеречислениеСсылка.ВариантыВерсионированияОбъектов | св-в:0 | код:-
  [ВидыОперацийПоЗарплате]  | ПеречислениеСсылка.ВидыОперацийПоЗарплате -> ПеречислениеСсылка.ВидыОперацийПоЗарплате | св-в:0 | код:-
  [ВидыДеятельностиДляДДС]  | ПеречислениеСсылка.ВидыДеятельностиДляДДС -> ПеречислениеСсылка.ВидыДеятельностиДляДДС | св-в:0 | код:-
  [СпособыПоворотаИзображения]  | ПеречислениеСсылка.СпособыПоворотаИзображения -> ПеречислениеСсылка.СпособыПоворотаИзображения | св-в:0 | код:-
  [ТипыВерсийОбъекта]  | ПеречислениеСсылка.ТипыВерсийОбъекта -> ПеречислениеСсылка.ТипыВерсийОбъекта | св-в:0 | код:-
  [ВидыДеятельностиНДС]  | ПеречислениеСсылка.ВидыДеятельностиНДС -> ПеречислениеСсылка.ВидыДеятельностиНДС | св-в:0 | код:-
  [РежимыИспользованияИнформационнойБазы]  | ПеречислениеСсылка.РежимыИспользованияИнформационнойБазы -> ПеречислениеСсылка.РежимыИспользованияИнформационнойБазы | св-в:0 | код:-
  [ФорматыХраненияМногостраничныхФайлов]  | ПеречислениеСсылка.ФорматыХраненияМногостраничныхФайлов -> ПеречислениеСсылка.ФорматыХраненияМногостраничныхФайлов | св-в:0 | код:-
  [ЦветностиИзображения]  | ПеречислениеСсылка.ЦветностиИзображения -> ПеречислениеСсылка.ЦветностиИзображения | св-в:0 | код:-
  [СоциальныеГруппыНаселения]  | ПеречислениеСсылка.СоциальныеГруппыНаселения -> ПеречислениеСсылка.СоциальныеГруппыНаселения | св-в:0 | код:-
  [ОперацииАдминистрированияПрофилейБезопасности]  | ПеречислениеСсылка.ОперацииАдминистрированияПрофилейБезопасности -> ПеречислениеСсылка.ОперацииАдминистрированияПрофилейБезопасности | св-в:0 | код:-
  [СостоянияМиграцииПриложения]  | ПеречислениеСсылка.СостоянияМиграцииПриложения -> ПеречислениеСсылка.СостоянияМиграцииПриложения | св-в:0 | код:-
  [СтатусыРегистрацииВЕРНННалоговыхДокументов]  | ПеречислениеСсылка.СтатусыРегистрацииВЕРНННалоговыхДокументов -> ПеречислениеСсылка.СтатусыРегистрацииВЕРНННалоговыхДокументов | св-в:0 | код:-
  [ВидыРасчетовПоСредствамФСС]  | ПеречислениеСсылка.ВидыРасчетовПоСредствамФСС -> ПеречислениеСсылка.ВидыРасчетовПоСредствамФСС | св-в:0 | код:-
  [СпособыСравненияВерсийФайлов]  | ПеречислениеСсылка.СпособыСравненияВерсийФайлов -> ПеречислениеСсылка.СпособыСравненияВерсийФайлов | св-в:0 | код:-
  [ДействияСФайламиПоДвойномуЩелчку]  | ПеречислениеСсылка.ДействияСФайламиПоДвойномуЩелчку -> ПеречислениеСсылка.ДействияСФайламиПоДвойномуЩелчку | св-в:0 | код:-
  [ВидыДнейПроизводственногоКалендаря]  | ПеречислениеСсылка.ВидыДнейПроизводственногоКалендаря -> ПеречислениеСсылка.ВидыДнейПроизводственногоКалендаря | св-в:0 | код:-
